New,Original Value,Level1,Level2,Level3,Level4
,annual totals,annual totals,annual totals,annual totals,annual totals
,annual totals were substantially reduced,annual totals were substantially reduced,annual totals were substantially reduced,annual totals were substantially reduced,annual totals were substantially reduced
k,reduction in gross domestic product,reduction to loss to gross domestic product,reduction to loss to gross domestic product,reduction to loss to gross domestic product,annual totals were substantially reduced
k,reduction to loss to gross domestic product,reduction to loss to gross domestic product,reduction to loss to gross domestic product,reduction to loss to gross domestic product,annual totals were substantially reduced
,"anxiety, panic, and rumor-mongering","anxiety, panic, and rumor-mongering","anxiety, panic, and rumor-mongering","anxiety, panic, and rumor-mongering","anxiety, panic, and rumor-mongering"
,any level of spending,any level of spending,any level of spending,any level of spending,any level of spending
k,financial risks,financial risks,financial risks,money,any level of spending
k,government revenues,government revenues,government revenues,government revenues,any level of spending
k,money,money,money,money,any level of spending
k,public finance,public finance,public finance,public finance,any level of spending
,appropriate actions to protect the publics health must be taken swiftly,appropriate actions to protect the publics health must be taken swiftly,appropriate actions to protect the publics health must be taken swiftly,appropriate actions to protect the publics health must be taken swiftly,appropriate actions to protect the publics health must be taken swiftly
,aversion to workplaces and other public gathering places,aversion to workplaces and other public gathering places,aversion to workplaces and other public gathering places,aversion to workplaces and other public gathering places,aversion to workplaces and other public gathering places
,aversive behavior,aversive behavior,aversive behavior,aversive behavior,aversive behavior
,behavioral changes and awareness of the disease in the population,behavioral changes and awareness of the disease in the population,behavioral changes and awareness of the disease in the population,behavioral changes and awareness of the disease in the population,behavioral changes and awareness of the disease in the population
,behavioural changes induced by fear,behavioural changes induced by fear,behavioural changes induced by fear,behavioural changes induced by fear,behavioural changes induced by fear
k,fear-induced aversion to public gathering places,fear-induced aversion to public gathering places,fear-induced aversion to public gathering places,fear-induced aversion to public gathering places,behavioural changes induced by fear
k,fear-induced aversion to workplaces,fear-induced aversion to workplaces,fear-induced aversion to public gathering places,fear-induced aversion to public gathering places,behavioural changes induced by fear
absenteeism driven by illness deaths and fear ,"illness, deaths, and fear- driven absenteeism","illness, deaths, and fear- driven absenteeism","illness, deaths, and fear- driven absenteeism","illness, deaths, and fear- driven absenteeism",behavioural changes induced by fear
,businesses declaring decrease in half-year profits,businesses declaring decrease in half-year profits,businesses declaring decrease in half-year profits,businesses declaring decrease in half-year profits,businesses declaring decrease in half-year profits
,calm a nervous world,calm a nervous world,calm a nervous world,calm a nervous world,calm a nervous world
,cannot be eliminated,cannot be eliminated,cannot be eliminated,cannot be eliminated,cannot be eliminated
,caps,caps,caps,caps,caps
k,absent other financing mechanisms,absent other financing mechanisms,absent other financing mechanisms,absent other financing mechanisms,cash flow troubles
,cash flow troubles,cash flow troubles,cash flow troubles,cash flow troubles,cash flow troubles
k,lack of capital,lack of capital,lack of capital,lack of capital,cash flow troubles
k,lack of sufficient state funding,lack of sufficient state funding,lack of sufficient state funding,lack of capital,cash flow troubles
,catastrophes,catastrophes,catastrophes,catastrophes,catastrophes
,challenges to long-term economic growth,challenges to long-term economic growth,challenges to long-term economic growth,challenges to long-term economic growth,challenges to long-term economic growth
,"challenging our ability to diagnose, treat, and control them","challenging our ability to diagnose, treat, and control them","challenging our ability to diagnose, treat, and control them","challenging our ability to diagnose, treat, and control them","challenging our ability to diagnose, treat, and control them"
,changes,changes,changes,changes,changes
,changes in consumption patterns,changes in consumption patterns,changes in consumption patterns,changes in consumption patterns,changes in consumption patterns
,changes in technologies,changes in technologies,changes in technologies,changes in technologies,changes in technologies
,modern industrial change,modern industrial change,modern industrial change,modern industrial change,changes in technologies
,changing health risks,changing health risks,changing health risks,changing health risks,changing health risks
,che,che,che,che,che
,child death;,child death;,child death;,child death;,child death;
,chinese government of underreporting sars cases,chinese government of underreporting sars cases,chinese government of underreporting sars cases,chinese government of underreporting sars cases,chinese government of underreporting sars cases
,chinese officials share details of first sars cases,chinese officials share details of first sars cases,chinese officials share details of first sars cases,chinese officials share details of first sars cases,chinese officials share details of first sars cases
chronic disease and injuries,chronic disease,chronic disease,chronic disease,chronic disease,chronic disease
chronic disease and injuries,chronic diseases,chronic disease,chronic disease,chronic disease,chronic disease
k,chronic effects,chronic effects,chronic effects,chronic effects,chronic disease
chronic disease and injuries,chronic ill health and injuries,chronic ill health and injuries,chronic ill health and injuries,chronic ill health and injuries,chronic ill health and injuries
,clashes between states and citizens,clashes between states and citizens,clashes between states and citizens,clashes between states and citizens,clashes between states and citizens
,climate change,climate change,climate change,climate change,climate change
,global warming,global warming,global warming,climate change,climate change
,closure at the peak of the pandemic,closure at the peak of the pandemic,closure at the peak of the pandemic,closure at the peak of the pandemic,closure at the peak of the pandemic
,commodity prices (including the price of oil) will drop,commodity prices (including the price of oil) will drop,commodity prices (including the price of oil) will drop,commodity prices (including the price of oil) will drop,commodity prices (including the price of oil) will drop
,communication of risk presented by pandemic,communication of risk presented by pandemic,communication of risk presented by pandemic,communication of risk presented by pandemic,communication of risk presented by pandemic
,management of risk presented by pandemic,management of risk presented by pandemic,management of risk presented by pandemic,communication of risk presented by pandemic,communication of risk presented by pandemic
,perception of risk presented by pandemic,perception of risk presented by pandemic,perception of risk presented by pandemic,communication of risk presented by pandemic,communication of risk presented by pandemic
,communications,communications,communications,communications,communications
k,global communication networks,global communication networks,global communication networks,global communication networks,communications
,community priorities,community priorities,community priorities,community priorities,community priorities
,community safety,community safety,community safety,community safety,community safety
,community-based palliative care teams often assume responsibility for these tasks,community-based palliative care teams often assume responsibility for these tasks,community-based palliative care teams often assume responsibility for these tasks,community-based palliative care teams often assume responsibility for these tasks,community-based palliative care teams often assume responsibility for these tasks
,concerns about the threat posed by biological weapons,concerns about the threat posed by biological weapons,concerns about the threat posed by biological weapons,concerns about the threat posed by biological weapons,concerns about the threat posed by biological weapons
,constrained some inter- national aid flows,constrained some inter- national aid flows,constrained some inter- national aid flows,constrained some inter- national aid flows,constrained some inter- national aid flows
,"constraints in bureaucratic capacity, financial controls, logistics, and infrastructure","constraints in bureaucratic capacity, financial controls, logistics, and infrastructure","constraints in bureaucratic capacity, financial controls, logistics, and infrastructure","constraints in bureaucratic capacity, financial controls, logistics, and infrastructure","constraints in bureaucratic capacity, financial controls, logistics, and infrastructure"
,consumer confidence returned,consumer confidence returned,consumer confidence returned,consumer confidence returned,consumer confidence returned
,consumers in china limit their travel and consumption,consumers in china limit their travel and consumption,consumers in china limit their travel and consumption,consumers in china limit their travel and consumption,consumers in china limit their travel and consumption
,consumers may compensate for their reduction in consumption by subsequently increasing their spending,consumers may compensate for their reduction in consumption by subsequently increasing their spending,consumers may compensate for their reduction in consumption by subsequently increasing their spending,consumers may compensate for their reduction in consumption by subsequently increasing their spending,consumers may compensate for their reduction in consumption by subsequently increasing their spending
,contingent workforce coming to work sick and spreading illness,contingent workforce coming to work sick and spreading illness,contingent workforce coming to work sick and spreading illness,contingent workforce coming to work sick and spreading illness,contingent workforce coming to work sick and spreading illness
,controversy,controversy,controversy,controversy,controversy
,cooperation and coordination,cooperation and coordination,cooperation and coordination,cooperation and coordination,cooperation and coordination
,greater collaboration,greater collaboration,greater collaboration,cooperation and coordination,cooperation and coordination
,unprecedented collaboration,unprecedented collaboration,unprecedented collaboration,unprecedented collaboration,cooperation and coordination
,coronavirus outbreak,coronavirus outbreak,coronavirus outbreak,coronavirus outbreak,coronavirus outbreak
,the uncertain effects of the coronavirus outbreak,the uncertain effects of the coronavirus outbreak,the uncertain effects of the coronavirus outbreak,the uncertain effects of the coronavirus outbreak,coronavirus outbreak
,uncertain effects of coronavirus outbreak,the uncertain effects of the coronavirus outbreak,the uncertain effects of the coronavirus outbreak,the uncertain effects of the coronavirus outbreak,coronavirus outbreak
,cost-effectiveness data,cost-effectiveness data,cost-effectiveness data,cost-effectiveness data,cost-effectiveness data
,cost-effectiveness ratios will be higher than reported in the literature,cost-effectiveness ratios will be higher than reported in the literature,cost-effectiveness ratios will be higher than reported in the literature,cost-effectiveness ratios will be higher than reported in the literature,cost-effectiveness ratios will be higher than reported in the literature
,"countries relying on tourism, transport and retail sales most affected by fall in demand","countries relying on tourism, transport and retail sales most affected by fall in demand","countries relying on tourism, transport and retail sales most affected by fall in demand","countries relying on tourism, transport and retail sales most affected by fall in demand","countries relying on tourism, transport and retail sales most affected by fall in demand"
,coverage expands,coverage expands,coverage expands,coverage expands,coverage expands
,covid- 19,covid-19,covid-19,covid-19,covid-19
,covid-19,covid-19,covid-19,covid-19,covid-19
,crisis,crisis,crisis,crisis,crisis
,customer attrition,customer attrition,customer attrition,customer attrition,customer attrition
,decline in nterest rates,decline in nterest rates,decline in nterest rates,decline in nterest rates,decline in nterest rates
,declining sales and high fixed costs,declining sales and high fixed costs,declining sales and high fixed costs,declining sales and high fixed costs,declining sales and high fixed costs
,decrease in the availability of sanitizers,decrease in the availability of sanitizers,decrease in the availability of sanitizers,decrease in the availability of sanitizers,decrease in the availability of sanitizers
decrease in travel and tourism,decrease in tourism,decrease in tourism,decrease in tourism,decrease in tourism,decrease in tourism
decrease in travel and tourism,rapid and widespread reduction in travel and tourism,rapid and widespread reduction in travel and tourism,rapid and widespread reduction in travel and tourism,decrease in tourism,decrease in tourism
decrease in travel and tourism,substantial decrease in tourism,decrease in tourism,decrease in tourism,decrease in tourism,decrease in tourism
decrease in travel and tourism,substantial decrease in usage of international transport,substantial decrease in usage of international transport,substantial decrease in usage of international transport,substantial decrease in usage of international transport,decrease in tourism
,delay activity on aids,delay activity on aids,delay activity on aids,delay activity on aids,delays
,delaying implementation,delaying implementation,delaying implementation,delays,delays
,delays,delays,delays,delays,delays
,reporting delays,reporting delays,reporting delays,delays,delays
delays,delays of hours,delays of hours,delays of hours,delays of hours,delays of hours
,delays to global supply chain recovery,delays to global supply chain recovery,delays to global supply chain recovery,delays to global supply chain recovery,delays to global supply chain recovery
,demand shocks,demand shocks,demand shocks,demand shocks,demand shocks
,depressing retail and entertainment spending,depressing retail and entertainment spending,depressing retail and entertainment spending,depressing retail and entertainment spending,depressing retail and entertainment spending
,destruction of human capital,destruction of human capital,destruction of human capital,destruction of human capital,destruction of human capital
,detection more difficult,detection more difficult,detection more difficult,detection more difficult,detection more difficult
,different definitions of business revenues,different definitions of business revenues,different definitions of business revenues,different definitions of business revenues,different definitions of business revenues
,difficulties,difficulties,difficulties,difficulties,difficulties
,difficulty in imposing the measures needed to control health threats,difficulty in imposing the measures needed to control health threats,difficulty in imposing the measures needed to control health threats,difficulty in imposing the measures needed to control health threats,difficulty in imposing the measures needed to control health threats
,direct involvement of the political leadership,direct involvement of the political leadership,direct involvement of the political leadership,direct involvement of the political leadership,direct involvement of the political leadership
,disruption for working parents with dependent children,disruption for working parents with dependent children,disruption for working parents with dependent children,disruption for working parents with dependent children,disruption for working parents with dependent children
,disruption,disruptions,disruptions,disruptions,disruptions
,disruptions,disruptions,disruptions,disruptions,disruptions
,disruptive measures,disruptive measures,disruptions,disruptions,disruptions
,disrupts production chains,disrupts production chains,disrupts production chains,disrupts production chains,disruptions
,societal disruption,societal disruption,societal disruption,societal disruption,disruptions
,distance education,distance education,distance education,distance education,distance education
,distorting taxes,distorting taxes,distorting taxes,distorting taxes,distorting taxes
k,distortion of prices,distortion of prices,distortion of prices,distorting taxes,distorting taxes
patients exposed to high viral doses,do patients exposed to high viral doses,do patients exposed to high viral doses,do patients exposed to high viral doses,do patients exposed to high viral doses,do patients exposed to high viral doses
,domestic governments will have to provide the bulk of new funding,domestic governments will have to provide the bulk of new funding,domestic governments will have to provide the bulk of new funding,domestic governments will have to provide the bulk of new funding,domestic governments will have to provide the bulk of new funding
economic disruption,economic blows,economic blows,economic blows,economic blows,economic blows
economic disruption,economic costs,economic costs,economic blows,economic blows,economic blows
economic disruption,economic damage,economic damage,economic blows,economic blows,economic blows
economic disruption,economic disruption,economic disruption,economic disruption,economic blows,economic blows
economic disruption,economic disruptions,economic disruption,economic disruption,economic blows,economic blows
k,economic effects,economic effects,economic blows,economic blows,economic blows
k,economic growth,economic growth,economic growth,economic growth,economic blows
economic disruption,economic impact,economic effects,economic blows,economic blows,economic blows
economic disruption,economic impacts,economic effects,economic blows,economic blows,economic blows
k,economic transitions,economic transitions,economic transitions,economic blows,economic blows
impact to trade and investment,impacting trade and investment,impacting trade and investment,impacting trade and investment,impacting trade and investment,economic blows
,economic inefficiencies,economic inefficiencies,economic inefficiencies,economic inefficiencies,economic inefficiencies
,effective communication to the public,effective communication to the public,effective communication to the public,effective communication to the public,effective communication to the public
k,efforts to subsidize disease detection,efforts to subsidize disease detection,efforts to subsidize immunization,efforts to subsidize immunization,efforts to subsidize immunization
k,efforts to subsidize disease treatment,efforts to subsidize disease detection,efforts to subsidize immunization,efforts to subsidize immunization,efforts to subsidize immunization
,efforts to subsidize immunization,efforts to subsidize immunization,efforts to subsidize immunization,efforts to subsidize immunization,efforts to subsidize immunization
,embargoes and boycotts,embargoes and boycotts,embargoes and boycotts,embargoes and boycotts,embargoes and boycotts
,emergencies,emergencies,emergencies,emergencies,emergencies
,emergency appropriations,emergency appropriations,emergency appropriations,emergency appropriations,emergency appropriations
,employee lethargy,employee lethargy,employee lethargy,employee lethargy,employee lethargy
,endemic diseases,endemic diseases,endemic diseases,endemic diseases,endemic diseases
,endemic infectious diseases,endemic diseases,endemic diseases,endemic diseases,endemic diseases
,enormous benefits,enormous benefits,enormous benefits,enormous benefits,enormous benefits
,large benefits,large benefits,enormous benefits,enormous benefits,enormous benefits
,epidemic progression,epidemic progression,epidemic progression,epidemic progression,epidemic progression
,epidemics,epidemics,epidemics,epidemics,epidemics
,evd,evd,evd,evd,evd
,exceptionally trans- missible and virulent viruses,exceptionally trans- missible and virulent viruses,exceptionally trans- missible and virulent viruses,exceptionally trans- missible and virulent viruses,exceptionally trans- missible and virulent viruses
,excessive stockpiling,excessive stockpiling,excessive stockpiling,excessive stockpiling,excessive stockpiling
,excessively high maternal and newborn mortality,excessively high maternal and newborn mortality,excessively high maternal and newborn mortality,excessively high maternal and newborn mortality,excessively high maternal and newborn mortality
,exercise,exercise,exercise,exercise,exercise
,expanding the list of reportable diseases,expanding the list of reportable diseases,expanding the list of reportable diseases,expanding the list of reportable diseases,expanding the list of reportable diseases
inventory and capacity shortages,expected inventory shortages,expected inventory shortages,expected inventory shortages,expected inventory shortages,expected inventory shortages
inventory and capacity shortages,inventory and capacity shortages,inventory and capacity shortages,inventory and capacity shortages,inventory and capacity shortages,expected inventory shortages
inventory and capacity shortages,shortages in inventory,shortages in inventory,shortages in inventory,inventory and capacity shortages,expected inventory shortages
k,supply shortages,supply shortages,supply shortages,inventory and capacity shortages,expected inventory shortages
,expediency,expediency,expediency,expediency,expediency
,expenditures are often repeated and continuous,expenditures are often repeated and continuous,expenditures are often repeated and continuous,expenditures are often repeated and continuous,expenditures are often repeated and continuous
,exposure history,exposure history,exposure history,exposure history,exposure history
,exposure to a domestic location with documented or suspected sars-cov,exposure to a domestic location with documented or suspected sars-cov,exposure to a domestic location with documented or suspected sars-cov,exposure to a domestic location with documented or suspected sars-cov,exposure to a domestic location with documented or suspected sars-cov
k,anthropogenic changes in the natural environment,anthropogenic changes in the natural environment,anthropogenic changes in the natural environment,anthropogenic changes in the natural environment,exposure to some factor in the environment
,exposure to some factor in the environment,exposure to some factor in the environment,exposure to some factor in the environment,exposure to some factor in the environment,exposure to some factor in the environment
,extensive layoffs,extensive layoffs,extensive layoffs,extensive layoffs,extensive layoffs
k,displacement,displacement,displacement,displacement,external entities
,external entities,external entities,external entities,external entities,external entities
,external funding sources,external funding sources,external funding sources,external funding sources,external funding sources
,funding comes from outside the community,funding comes from outside the community,funding comes from outside the community,external funding sources,external funding sources
,failure to treat patients,failure to treat patients,failure to treat patients,failure to treat patients,failure to treat patients
,concern for future outbreaks,concern for future outbreaks,concern for future outbreaks,concern for future outbreaks,fear of disease spread
,fear of disease,fear of disease spread,fear of disease spread,fear of disease spread,fear of disease spread
,fear of disease spread,fear of disease spread,fear of disease spread,fear of disease spread,fear of disease spread
,great uncertainty and fear generated by pandemic,great uncertainty and fear generated by pandemic,great uncertainty and fear generated by pandemic,great uncertainty and fear generated by pandemic,fear of disease spread
,fear of social and economic consequences,fear of social and economic consequences,fear of social and economic consequences,fear of social and economic consequences,fear of social and economic consequences
,fevers and a cough,fevers and a cough,fevers and a cough,fevers and a cough,fevers and a cough
,fewer cases are seen,fewer cases are seen,fewer cases are seen,fewer cases are seen,fewer cases are seen
k,constraints on public budgets,constraints on public budgets,constraints on public budgets,constraints on public budgets,fiscal exigency
,fiscal exigency,fiscal exigency,fiscal exigency,fiscal exigency,fiscal exigency
,fiscal policies,fiscal policies,fiscal policies,fiscal policies,fiscal policies
k,fiscal shocks,fiscal shocks,fiscal shocks,fiscal shocks,fiscal policies
,"fluctuations in stock prices, depressing earnings projections, and even delaying movie premieres","fluctuations in stock prices, depressing earnings projections, and even delaying movie premieres","fluctuations in stock prices, depressing earnings projections, and even delaying movie premieres","fluctuations in stock prices, depressing earnings projections, and even delaying movie premieres","fluctuations in stock prices, depressing earnings projections, and even delaying movie premieres"
,framing of news stories,framing of news stories,framing of news stories,framing of news stories,framing of news stories
,future levels of commitment highly uncertain,future levels of commitment highly uncertain,future levels of commitment highly uncertain,future levels of commitment highly uncertain,future levels of commitment highly uncertain
,future outbreaks,future outbreaks,future outbreaks,future outbreaks,future outbreaks
,"gaps in each countrys ability to prevent, detect and respond to outbreaks","gaps in each countrys ability to prevent, detect and respond to outbreaks","gaps in each countrys ability to prevent, detect and respond to outbreaks","gaps in each countrys ability to prevent, detect and respond to outbreaks","gaps in each countrys ability to prevent, detect and respond to outbreaks"
,gaps in health system access and surveillance system coverage,gaps in health system access and surveillance system coverage,gaps in health system access and surveillance system coverage,gaps in health system access and surveillance system coverage,gaps in health system access and surveillance system coverage
,gaps in surveillance and reporting infrastructure,gaps in surveillance and reporting infrastructure,gaps in surveillance and reporting infrastructure,gaps in surveillance and reporting infrastructure,gaps in surveillance and reporting infrastructure
,general feeling of lack of control amongst the populace,general feeling of lack of control amongst the populace,general feeling of lack of control amongst the populace,general feeling of lack of control amongst the populace,general feeling of lack of control amongst the populace
,ghg,ghg,ghg,ghg,ghg
,global media positioning of pandemic crisis,global media positioning of pandemic crisis,global media positioning of pandemic crisis,global media positioning of pandemic crisis,global media positioning of pandemic crisis
,global media positioning of virus crisis,global media positioning of virus crisis,global media positioning of pandemic crisis,global media positioning of pandemic crisis,global media positioning of pandemic crisis
k,better global response,better global response,better global response,global response,global response
,global response,global response,global response,global response,global response
,global shocks,global shocks,global shocks,global shocks,global shocks
,shocks,shocks,shocks,shocks,global shocks
,shocks to other countries,shocks to other countries,shocks to other countries,shocks,global shocks
k,global demand,global demand,global demand,global demand,globalized supply chains
,globalized supply chains,globalized supply chains,globalized supply chains,globalized supply chains,globalized supply chains
,government expenditures and the ability to increase spending on health care have tightened,government expenditures and the ability to increase spending on health care have tightened,government expenditures and the ability to increase spending on health care have tightened,government expenditures and the ability to increase spending on health care have tightened,government expenditures and the ability to increase spending on health care have tightened
k,greatly limit access to needed health and other social services,greatly limit access to needed health and other social services,greatly limit access to needed health and other social services,greatly limit access to needed health and other social services,government expenditures and the ability to increase spending on health care have tightened
,fear of sars infection,fear of sars infection,fear of sars infection,great uncertainty and fear generated by sars,great uncertainty and fear generated by sars
,great uncertainty and fear generated by sars,great uncertainty and fear generated by sars,great uncertainty and fear generated by sars,great uncertainty and fear generated by sars,great uncertainty and fear generated by sars
,greater health risks,greater health risks,greater health risks,greater health risks,greater health risks
,increased risks,increased risks,increased risks,increased risks,greater health risks
,countries should increase their support to the health sector,countries should increase their support to the health sector,countries should increase their support to the health sector,countries should increase their support to the health sector,growing demand for high-quality care
,growing demand for high-quality care,growing demand for high-quality care,growing demand for high-quality care,growing demand for high-quality care,growing demand for high-quality care
,"growth in travel, trade and connectivity","growth in travel, trade and connectivity","growth in travel, trade and connectivity","growth in travel, trade and connectivity","growth in travel, trade and connectivity"
,travel and trade steadily intensifying,travel and trade steadily intensifying,travel and trade steadily intensifying,"growth in travel, trade and connectivity","growth in travel, trade and connectivity"
,guillain-barr syndrome,guillain-barr syndrome,guillain-barr syndrome,guillain-barr syndrome,guillain-barr syndrome
,halting of casual travel between the affected locations,halting of casual travel between the affected locations,halting of casual travel between the affected locations,halting of casual travel between the affected locations,halting of casual travel between the affected locations
,hazardous risk factors,hazardous risk factors,hazardous risk factors,hazardous risk factors,hazardous risk factors
,headwinds,headwinds,headwinds,headwinds,headwinds
,health aid,health aid,health aid,health aid,health aid
k,health interventions,health interventions,health interventions,health interventions,health aid
k,catastrophic and impoverishing health expenditures,catastrophic and impoverishing health expenditures,catastrophic health expenditures,high costs of treatment,health care expenditure
catastrophic and impoverishing health expenditures,catastrophic health expenditure,catastrophic health expenditures,catastrophic health expenditures,high costs of treatment,health care expenditure
catastrophic and impoverishing health expenditures,catastrophic health expenditures,catastrophic health expenditures,catastrophic health expenditures,high costs of treatment,health care expenditure
k,crowding out of private health expenditures,crowding out of private health expenditures,crowding out of private health expenditures,crowding out of private health expenditures,health care expenditure
k,health care expenditure,health care expenditure,health care expenditure,health care expenditure,health care expenditure
k,high costs of treatment,high costs of treatment,high costs of treatment,high costs of treatment,health care expenditure
k,increase resource demands on health care systems and increase private and public health expenditures,increase resource demands on health care systems and increase private and public health expenditures,increase resource demands on health care systems and increase private and public health expenditures,increase resource demands on health care systems and increase private and public health expenditures,health care expenditure
increased health funding,increased health fund- ing,increased health fund- ing,increased health fund- ing,increase resource demands on health care systems and increase private and public health expenditures,health care expenditure
,paying for health care,health care expenditure,health care expenditure,health care expenditure,health care expenditure
k,unaffordable health care,unaffordable health care,unaffordable health care,health care expenditure,health care expenditure
k,unexpected spikes in health care costs,unexpected spikes in health care costs,unexpected spikes in health care costs,unexpected spikes in health care costs,health care expenditure
,health inequities,health inequities,health inequities,health inequities,health inequities
,health shocks,health shocks,health shocks,health shocks,health shocks
,healthcare workers will miss mild cases,healthcare workers will miss mild cases,healthcare workers will miss mild cases,healthcare workers will miss mild cases,healthcare workers will miss mild cases
,heat waves and fires,heat waves and fires,heat waves and fires,heat waves and fires,heat waves and fires
,heightened awareness of bw threat,heightened awareness of bw threat,heightened awareness of bw threat,heightened awareness of bw threat,heightened awareness of bw threat
increased uncertainty,heightened uncertainty,heightened uncertainty,heightened uncertainty,heightened uncertainty,heightened uncertainty
increased uncertainty,increased uncertainty,heightened uncertainty,heightened uncertainty,heightened uncertainty,heightened uncertainty
,heightening concerns brought on by conflicting messages,heightening concerns brought on by conflicting messages,heightening concerns brought on by conflicting messages,heightening concerns brought on by conflicting messages,heightening concerns brought on by conflicting messages
,help countries prepare for future disease outbreaks,help countries prepare for future disease outbreaks,help countries prepare for future disease outbreaks,help countries prepare for future disease outbreaks,help countries prepare for future disease outbreaks
,preparing for the next disease outbreak,preparing for the next disease outbreak,preparing for the next disease outbreak,help countries prepare for future disease outbreaks,help countries prepare for future disease outbreaks
,hesitation regarding information-sharing and action,hesitation regarding information-sharing and action,hesitation regarding information-sharing and action,hesitation regarding information-sharing and action,hesitation regarding information-sharing and action
,high costs of training,high costs of training,high costs of training,high costs of training,high costs of training
,high infection rates among children,high infection rates among children,high infection rates among children,high infection rates among children,high infection rates among children
,climate of fear created by outbreak,climate of fear created by outbreak,climate of fear created by outbreak,high levels of fear,high levels of fear
,fear,fear,fear,fear,high levels of fear
,fear and stigma,fear and stigma,fear and stigma,fear,high levels of fear
,fear and uncertainty,fear and uncertainty,fear,fear,high levels of fear
,heightening public fears,heightening public fears,high levels of fear,high levels of fear,high levels of fear
,high levels of fear,high levels of fear,high levels of fear,high levels of fear,high levels of fear
,raise fears,raise fears,raise fears,high levels of fear,high levels of fear
,high media salience,high media salience,high media salience,high media salience,high media salience
,high prcv doses,high prcv doses,high prcv doses,high prcv doses,high prcv doses
,high rates),high rates),high rates),high rates),high rates)
,high spark and spread risks,high spark and spread risks,high spark and spread risks,high spark and spread risks,high spark and spread risks
,high tax administration requirements,high tax administration requirements,high tax administration requirements,high tax administration requirements,high tax administration requirements
,higher- capacity states focus on their own populations,higher- capacity states focus on their own populations,higher- capacity states focus on their own populations,higher- capacity states focus on their own populations,higher- capacity states focus on their own populations
,holes,holes,holes,holes,holes
,hospitalization costs and pro- ductivity loss because of deaths,hospitalization costs and pro- ductivity loss because of deaths,hospitalization costs and pro- ductivity loss because of deaths,hospitalization costs and pro- ductivity loss because of deaths,hospitalization costs and pro- ductivity loss because of deaths
,hotel occupancy rates,hotel occupancy rates,hotel occupancy rates,hotel occupancy rates,hotel occupancy rates
,hpp and euhc,hpp and euhc,hpp and euhc,hpp and euhc,hpp and euhc
,human-to-human transmission patterns,human-to-human transmission patterns,human-to-human transmission patterns,human-to-human transmission patterns,human-to-human transmission patterns
,hyperplasia,hyperplasia,hyperplasia,hyperplasia,hyperplasia
,impact on peoples travel habits,impact on peoples travel habits,impact on peoples travel habits,impact on peoples travel habits,impact on peoples travel habits
,impact parents of young families who dont have alternate care options,impact parents of young families who dont have alternate care options,impact parents of young families who dont have alternate care options,impact parents of young families who dont have alternate care options,impact parents of young families who dont have alternate care options
k,impact to clients of credit and equity market volatility,impact to clients of credit and equity market volatility,impact to the firm of credit and equity market volatility,impact to the firm of credit and equity market volatility,impact to the firm of credit and equity market volatility
,impact to the firm of credit and equity market volatility,impact to the firm of credit and equity market volatility,impact to the firm of credit and equity market volatility,impact to the firm of credit and equity market volatility,impact to the firm of credit and equity market volatility
,importance of service industries to gdp,importance of service industries to gdp,importance of service industries to gdp,importance of service industries to gdp,importance of service industries to gdp
